Tamanho do Vetor,Algoritmo,Tempo de Execução (ms),Número de Trocas,Número de Iterações
50,Merge Sort,0.4286,0,0
50,Heap Sort,0.0339,0,0
50,Merge Sort,0.0113,0,0
50,Heap Sort,0.0267,0,0
50,Merge Sort,0.0027,0,0
50,Heap Sort,0.0133,0,0
50,Merge Sort,0.0019,0,0
50,Heap Sort,0.0066,0,0
50,Merge Sort,0.0023,0,0
50,Heap Sort,0.0053,0,0
500,Merge Sort,0.0148,0,0
500,Heap Sort,0.0549,0,0
500,Merge Sort,0.0152,0,0
500,Heap Sort,0.0612,0,0
500,Merge Sort,0.0164,0,0
500,Heap Sort,0.0534,0,0
500,Merge Sort,0.0144,0,0
500,Heap Sort,0.0621,0,0
500,Merge Sort,0.0157,0,0
500,Heap Sort,0.0519,0,0
1000,Merge Sort,0.032,0,0
1000,Heap Sort,0.11,0,0
1000,Merge Sort,0.0313,0,0
1000,Heap Sort,0.1459,0,0
1000,Merge Sort,0.0367,0,0
1000,Heap Sort,0.1387,0,0
1000,Merge Sort,0.0386,0,0
1000,Heap Sort,0.1287,0,0
1000,Merge Sort,0.0327,0,0
1000,Heap Sort,0.1087,0,0
5000,Merge Sort,0.152,0,0
5000,Heap Sort,0.5572,0,0
5000,Merge Sort,0.1509,0,0
5000,Heap Sort,0.4677,0,0
5000,Merge Sort,0.1493,0,0
5000,Heap Sort,0.4424,0,0
5000,Merge Sort,0.1573,0,0
5000,Heap Sort,0.4368,0,0
5000,Merge Sort,0.1581,0,0
5000,Heap Sort,0.4375,0,0
10000,Merge Sort,0.0719,0,0
10000,Heap Sort,0.9273,0,0
10000,Merge Sort,0.0671,0,0
10000,Heap Sort,0.9238,0,0
10000,Merge Sort,0.0608,0,0
10000,Heap Sort,0.9409,0,0
10000,Merge Sort,0.09,0,0
10000,Heap Sort,0.8659,0,0
10000,Merge Sort,0.1273,0,0
10000,Heap Sort,1.0243,0,0
